PipeWhisper 5-Year Financial Model (Base Case) - All values in USD
,,,,,,
SECTION,Line Item,Year 1,Year 2,Year 3,Year 4,Year 5
,,,,,,
OPERATING METRICS,Buildings live (EOY),10,85,440,1480,3200
OPERATING METRICS,Sensors live (EOY),240,3200,18000,62000,140000
OPERATING METRICS,Gateways live (EOY),10,95,490,1650,3550
OPERATING METRICS,Certified plumbers,15,40,220,650,1400
OPERATING METRICS,Metros covered,1,2,4,12,20
OPERATING METRICS,Avg sensors per building,24,37,41,42,44
,,,,,,
REVENUE,Hardware revenue (Nodes+Gateways),120000,880000,3200000,8600000,16800000
REVENUE,SaaS subscription,48000,880000,4320000,14400000,36000000
REVENUE,Plumber network fees,0,180000,1280000,4200000,11800000
REVENUE,Insurance data licensing,0,0,240000,780000,2400000
REVENUE,Professional services,12000,160000,460000,20000,1000000
REVENUE,Total Revenue,180000,2100000,9500000,28000000,68000000
,,,,,,
COGS,Hardware COGS,66000,370000,1100000,2580000,4370000
COGS,Cloud infrastructure,18000,140000,600000,1680000,3600000
COGS,Payment processing + plumber payouts,2000,68000,320000,960000,2040000
COGS,Customer success ops,15000,90000,340000,950000,2200000
COGS,Total COGS,101000,668000,2360000,6170000,12210000
,,,,,,
GROSS,Gross Profit,79000,1432000,7140000,21830000,55790000
GROSS,Gross Margin %,0.44,0.68,0.75,0.78,0.82
,,,,,,
OPEX,R&D (eng + ML + hardware),720000,1950000,3800000,6100000,9800000
OPEX,Sales & marketing,180000,1400000,4200000,9500000,19000000
OPEX,G&A,240000,680000,1400000,2800000,5200000
OPEX,Manufacturing ramp (non-COGS),120000,380000,900000,2000000,4000000
OPEX,Certifications/legal/IP,90000,180000,320000,600000,900000
OPEX,Total OpEx,1350000,4590000,10620000,21000000,38900000
,,,,,,
P&L,EBITDA,-1271000,-3158000,-3480000,830000,16890000
P&L,D&A,30000,90000,220000,480000,900000
P&L,Pre-tax income,-1301000,-3248000,-3700000,350000,15990000
P&L,Tax (21% when profitable),0,0,0,-74000,-3358000
P&L,Net income,-1301000,-3248000,-3700000,276000,12632000
,,,,,,
HEADCOUNT,Engineering FTE,5,9,18,30,48
HEADCOUNT,Sales FTE,1,4,8,14,28
HEADCOUNT,Customer success FTE,0,2,4,10,20
HEADCOUNT,G&A FTE,1,1,4,8,14
HEADCOUNT,Total FTE,8,16,34,62,110
HEADCOUNT,Fully loaded cost,1742000,3600000,8100000,14800000,26200000
,,,,,,
UNIT ECONOMICS,ARR per sensor,200,330,350,370,390
UNIT ECONOMICS,Hardware gross margin,0.45,0.58,0.66,0.70,0.74
UNIT ECONOMICS,SaaS gross margin,0.72,0.82,0.85,0.86,0.87
UNIT ECONOMICS,CAC blended,3600,3100,2400,2100,1900
UNIT ECONOMICS,LTV (5yr),22000,44000,58000,65000,72000
UNIT ECONOMICS,LTV:CAC ratio,6.1,14.2,24.2,31.0,37.9
UNIT ECONOMICS,Payback months,16,11,7,5,4
,,,,,,
SAAS METRICS,Gross churn %,0.08,0.032,0.024,0.018,0.014
SAAS METRICS,Net revenue retention,0.95,1.08,1.18,1.26,1.31
SAAS METRICS,Magic number,0,0.6,1.1,1.4,1.5
SAAS METRICS,Rule of 40,-0.52,0.08,0.93,0.92,1.08
SAAS METRICS,ARR per FTE,22500,131250,279411,451612,618181
,,,,,,
CASH,Starting cash,0,3449000,14201000,26501000,86777000
CASH,Pre-seed raise,750000,0,0,0,0
CASH,Seed raise,0,4000000,0,0,0
CASH,Series A raise,0,0,18000000,0,0
CASH,Series B raise,0,0,0,60000000,0
CASH,Net income,-1301000,-3248000,-3700000,276000,12632000
